ID	Name	Glottocode	ISO639P3code	Latitude	Longitude	Family	Sources	Base
Spiti	Spiti	spit1240	spt	32.53	77.83	Sino-Tibetan	mephd2021	Decimal
Ladakhi	Ladakhi	lada1244	lbj	33.47	80.6	Sino-Tibetan	mephd2021	Decimal
Khoibu	Khoibu	khoi1251	nkb	24.2	94.13	Sino-Tibetan	mephd2021	Decimal
Ao_1	Ao_1	aona1235	njo	26.32	94.38	Sino-Tibetan	mephd2021	Decimal
Ao_2	Ao_2	aona1235	njo	26.32	94.38	Sino-Tibetan	FW2023	
Adi	Adi	bori1243	adi	27.63	94.35	Sino-Tibetan	mephd2021	Decimal
Bodo	Bodo	bodo1269	brx	26.1	92	Sino-Tibetan	mephd2021	Decimal
Meiteilon	Meiteilon	meit1246	mni			Sino-Tibetan	mephd2021	Vigesimal
Thangal	Thangal	than1255	nki	25.35	93.84	Sino-Tibetan	mephd2021	Decimal
Tangkhul	Tangkhul	tang1336	nmf	25.05	94.36	Sino-Tibetan	mephd2021	Decimal
Tinkarlo	Tinkar lo	byan1241		29.9002	80.63	Sino-Tibetan	mephd2021	Mixed
Lotha_1	Lotha_1	loth1237	njh	26.01	94.04	Sino-Tibetan	mephd2021	Decimal
Lotha_2	Lotha_2	loth1237	njh	26.01	94.04	Sino-Tibetan	FW2023	
Rongmei	Rongmei	rong1266	nbu	25.1	93.79	Sino-Tibetan	mephd2021	Decimal
Angami	Angami	anga1288	njm	25.68	93.87	Sino-Tibetan	mephd2021	Decimal
Jad	Jad	jadd1243	jda	30.24	79.15	Sino-Tibetan	mephd2021	Decimal
Bhoti	Bhoti	stod1241	sbu	32.5	77.12	Sino-Tibetan	mephd2021	Decimal
Thadou	Thadou	thad1238	tcz	24.1	93.72	Sino-Tibetan	mephd2021	Decimal
Mao	Mao	maon1238	nbi	25.38	94	Sino-Tibetan	mephd2021	Decimal
Hajong	Hajong	hajo1238	haj	25.51	89.86	Indo-Aryan	ager2018	Decimal
Ho	Ho	hooo1248	hoc	23.96	87.12	Austro-Asiatic	mephd2021	Vigesimal
Kharia	Kharia	khar1287	khr	22.36	84.39	Austro-Asiatic	mephd2021	Vigesimal
Khasi	Khasi	khas1269	kha	24.98	92	Austro-Asiatic	mephd2021	Decimal
Pnar	Pnar	pnar1238	pbv	24.82	92.26	Austro-Asiatic	mephd2021	Decimal
Santali	Santali	sant1410	sat	25.03	87.82	Austro-Asiatic	mephd2021	Decimal
Mundari	Mundari	mund1320	unr	23.03	85.85	Austro-Asiatic	mephd2021	Vigesimal
Korku	Korku	kork1243	kfq	21.84	77.55	Austro-Asiatic	mohan2012numeral	Vigesimal
Sora	Sora	sora1254	srb	19.12	84.19	Austro-Asiatic	gregory2008munda	Mixed
CarNicobarese	Car Nicobarese	carn1240	caq	9.19	92.77	Austro-Asiatic	chan2018	Decimal
Sanenyo	Sanenyo	chau1258	crv	8.46	93.03	Austro-Asiatic	abbi2020grammar	Decimal
Luro	Luro	tere1272	tef	8.24	93.13	Austro-Asiatic	abbi2020aspects	Decimal
Kannada	Kannada	nucl1305	kan	13.59	76.12	Dravidian	mephd2021	Decimal
Toda	Toda	toda1252	tcx	11.42	77.02	Dravidian	mephd2021	Decimal
Gondi	Gondi	nort2702	gno	18.16	81.38	Dravidian	mephd2021	Vigesimal
Kota	Kota	kota1263	kfe	11.5	76.94	Dravidian	mephd2021	Decimal
Kodagu	Kodagu	koda1255	kfa	12.24	75.92	Dravidian	mephd2021	Decimal
Tamil	Tamil	tami1289	tam	10.52	78.83	Dravidian	mephd2021	Decimal
Malayalam	Malayalam	mala1464	mal	9.59	76.77	Dravidian	mephd2021	Decimal
Telugu	Telugu	telu1262	tel	16.45	78.7	Dravidian	mephd2021	Decimal
Kurukh	Kurukh	kuru1301	kru	24.46	86.47	Dravidian	mephd2021	Decimal
Badaga	Badaga	bada1257	bfq	11.31	76.6	Dravidian	mephd2021	Decimal
Kulvi	Kulvi	kull1236	kfx	31.83	77.38	Indo-Aryan	mephd2021	Decimal
Gaddi	Gaddi	gadd1242	gbk	32.36	76.57	Indo-Aryan	mephd2021	Decimal
Kumaoni	Kumaoni	kuma1273	kfy	29.56	80.02	Indo-Aryan	mephd2021	Decimal
Garhwali	Garhwali	garh1243	gbm	30.51	78.72	Indo-Aryan	mephd2021	Decimal
Dogri	Dogri	dogr1250	dgo	32.55	75.71	Indo-Aryan	mephd2021	Decimal
Konkani	Konkani	goan1235	gom	15.27	74.21	Indo-Aryan	mephd2021	Decimal
Nepali	Nepali	nepa1254	npi	28	85	Indo-Aryan	mephd2021	Decimal
Kudmali	Kudmali	kudm1238	kyw	25.92	87.33	Indo-Aryan	mephd2021	Decimal
Bengali	Bengali	beng1280	ben	24	90	Indo-Aryan	mephd2021	Decimal
Assamese	Assamese	assa1263	asm	26.09	91.29	Indo-Aryan	mephd2021	Decimal
Marwari	Marwari	marw1260	rwr	27	75.07	Indo-Aryan	mephd2021	Decimal
PakistaniPunjabi	Pakistani Punjabi	west2386	pnb	30.09	75.35	Indo-Aryan	mephd2021	Decimal
IndianPunjabi	Indian Punjabi	panj1256	pan	30.04	75.67	Indo-Aryan	mephd2021	Decimal
Oriya	Oriya	adiv1239	ort	18.1	82.85	Indo-Aryan	mephd2021	Decimal
Kashmiri	Kashmiri	kash1277	kas	34.17	74.33	Indo-Aryan	mephd2021	Decimal
Marathi	Marathi	mara1378	mar	17.93	76.67	Indo-Aryan	mephd2021	Decimal
Gujarati	Gujarati	guja1252	guj	22.69	71.1	Indo-Aryan	mephd2021	Decimal
Sindhi	Sindhi	sind1272	snd	26	69	Indo-Aryan	mephd2021	Decimal
Pahari	Pahari	paha1251	phr	33.64	73.81	Indo-Aryan	mephd2021	Decimal
Nagpuri	Nagpuri	sada1242	sck	23.66	84.81	Indo-Aryan	mephd2021	Decimal
Wagdi	Wagdi	wagd1238	wbr	23.69	73.9	Indo-Aryan	mephd2021	Decimal
Bajjika	Bajjika	west2380	vjk			Indo-Aryan	mephd2021	Decimal
Sanskrit	Sanskrit	sans1269	san	20	77	Indo-Aryan	mephd2021	Decimal
Panchparganiya	Panchparganiya	panc1246	tdb	23.45	85.8	Indo-Aryan	mephd2021	Decimal
Sylheti	Sylheti	sylh1242	syl	24.84	92.25	Indo-Aryan	mephd2021	Decimal
Urdu	Urdu	urdu1245	urd	25	67	Indo-Aryan	mephd2021	Decimal
Halbi	Halbi	halb1244	hlb	20.31	81.37	Indo-Aryan	mephd2021	Vigesimal
Khortha	Khortha	maga1260		25.09	85.33	Indo-Aryan	mephd2021	Decimal
Sinhala	Sinhala	sinh1246	sin	8	81	Indo-Aryan	ager2018	Decimal
Palula	Palula	phal1254	phl	35.51	71.84	Indo-Aryan	ager2018	Vigesimal
Rohingya	Rohingya	rohi1238	rhg	20.83	92.39	Indo-Aryan	ager2018	Decimal
Rajbongshi	Rajbongshi	rajb1243	rjs	26.52	88.04	Indo-Aryan	mephd2021	Decimal
TaiKhamti	TaiKhamti	kham1290	kht	27.67	97.04	Tai-Kadai	mephd2021	Decimal
Onge	Onge	onge1236	oon	10.69	92.47	Ongan	chan2018	-
Jarawa	Jarawa	jara1245	anq	11.61	92.66	Ongan	chan2018	-
GreatAndamanese	Great Andamanese	grea1241	gac	11.67	92.74	Great Andamanese	chan2018	-
Nihali	Nihali	niha1238	nll	21.19	76.33	Language Isolate	chan2018	Decimal
Burushaski	Burushaski	buru1296	bsk	36.22	74.82	Language Isolate	chan2018	Vigesimal
ChakesangChokri	Chakesang Chokri	chok1243	nri	25.56	94.29	Tibeto-Burman	FW2023	
ChakesangKheza	Chakesang Kheza	khez1235	nkh	25.71	94.31	Tibeto-Burman	FW2023	
Khiamniungan	Khiamniungan	khia1236	kix	26.2	95.02	Tibeto-Burman	FW2023	
Konyak	Konyak	kony1248	nbe	26.68	95.06	Tibeto-Burman	FW2023	
Phom	Phom	phom1236	nph	26.47	94.75	Tibeto-Burman	FW2023	
Pochuri	Pochuri	poch1243	npo	25.45	94.11	Tibeto-Burman	FW2023	
Rengma	Rengma	sout2732	nre	26.12	94.69	Tibeto-Burman	FW2023	
Sangtam	Sangtam	sang1321	nsa	25.86	94.63	Tibeto-Burman	FW2023	
Sumi	Sumi	sumi1235	nsm	26	94.42	Tibeto-Burman	FW2023	
Yimkhiung	Yimkhiung	yimc1240	yim	25.77	94.81	Tibeto-Burman	FW2023	
Zeme	Zeme	zeme1240	nzm	25.35	93.65	Tibeto-Burman	FW2023	
AgamNyishi	Agam Nyishi	nyis1236	njz	27.28	93.68	Tibeto-Burman	FW2023	
Apatani	Apatani	apat1240	apt	27.19	93.73	Tibeto-Burman	FW2023	
Galo	Galo	galo1242	adl	27.98	94.69	Tibeto-Burman	FW2023	
HawaNocte	Hawa Nocte	noct1238	njb	27.15	95.39	Tibeto-Burman	FW2023	
IduMishmi	Idu Mishmi	idum1241	clk	29.45	95.65	Tibeto-Burman	FW2023	
KamanMishmi	Kaman Mishmi	miju1243		28.47	97.04	Tibeto-Burman	FW2023	
Koro_aka	Koro aka	koro1316	jkr	27.21	92.63	Tibeto-Burman	FW2023	
PadamAdi	Padam Adi	pada1257		28.25	95.37	Tibeto-Burman	FW2023	
TaraonMishmi	Taraon Mishmi	diga1241	mhu	28.5	96.88	Tibeto-Burman	FW2023	
TikhakTangsa	Tikhak Tangsa	tikh1243		27.38	96.02	Tibeto-Burman	FW2023	
Tsangla	Tshangla	tsha1245	tsj	27.37	91.77	Tibeto-Burman	FW2023	
UpperWancho	Upper Wancho	wanc1238	nnp	26.26	94.89	Tibeto-Burman	FW2023	
Bantawa	Bantawa	bant1281	bap	27.12	87.05	Tibeto-Burman (Kiranti)	FW2023	
Bayung	Bayung	bahi1252	bhj	27.33	86.39	Tibeto-Burman (Kiranti)	FW2023	
Camling	Camling	caml1239	rab	27.34	86.76	Tibeto-Burman (Kiranti)	FW2023	
Dumi	Dumi	dumi1241	dus	27.46	86.76	Tibeto-Burman (Kiranti)	FW2023	
Koyee	Koyee	koii1238	kkt	27.19	86.85	Tibeto-Burman (Kiranti)	FW2023	
Kulung	Kulung	kulu1253	kle	27.16	87.57	Tibeto-Burman (Kiranti)	FW2023	
Nachering	Nachering	nach1240	ncd	27.42	86.7	Tibeto-Burman (Kiranti)	FW2023	
Puma	Puma	puma1239	pum	27.08	86.84	Tibeto-Burman (Kiranti)	FW2023	
Sampang	Sampang	samp1249	rav	27.3	87	Tibeto-Burman (Kiranti)	FW2023	
Thulung	Thulung	thul1246	tdh	27.54	87.61	Tibeto-Burman (Kiranti)	FW2023	
Wambule	Wambule	wamb1257	wme	27.15	86.48	Tibeto-Burman (Kiranti)	FW2023	
Yakkha	Yakkha	yakk1236	ybh	27.37	87.93	Tibeto-Burman (Kiranti)	FW2023	
Sunwar	Sunwar	sunw1242	suz	27.52	86.25	Tibeto-Burman (Kiranti)	FW2023	
Jerung	Jerung	jeru1240	jee	27.17	86.25	Tibeto-Burman (Kiranti)	FW2023	
Khaling	Khaling	khal1275	klr	27.39	87.51	Tibeto-Burman (Kiranti)	FW2023
Athpariya	Athpariya	athp1242	aph	26.88	87.33	Tibeto-Burman (Kiranti)	FW2024
Chintang	Chintang	chhi1245	ctn	26.96	87.19	Tibeto-Burman (Kiranti)	FW2024
Dungmali	Dungmali	dung1252	raa	26.98	87.33	Tibeto-Burman (Kiranti)	FW2024
Chhulung	Chhulung	chhu1238	cur	26.91	87.21	Tibeto-Burman (Kiranti)	FW2024
Lohorung	Lohorung	nort2727	lbr	27.51	87.22	Tibeto-Burman (Kiranti)	FW2024
Mewahang	Mewahang	mewa1252	emg	27.51	87.11	Tibeto-Burman (Kiranti)	FW2024
Mugali	Mugali	mugo1238	muk	29.59	82.45	Tibeto-Burman 	FW2024
Phangduwali	Phangduwali	phan1256	phw	27.16	87.35	Tibeto-Burman (Kiranti)	FW2024
Tilung	Tilung	tilu1238	tij	27.22	86.47	Tibeto-Burman (Kiranti)	FW2024
Yamphu	Yamphu	yamp1242	ybi	27.63	87.04	Tibeto-Burman (Kiranti)	FW2024
Balti	Balti	balt1258	bft	34.45	77.29	Tibeto-Burman 	Dr. Konchok Tashi
Brokskad	Brokskad	brok1249	bro	27.65	90.65	Indo-Aryan	Dr. Konchok Tashi
Belhare	Belhare	belh1239	byw	27	87.28	Tibeto-Burman (Kiranti)	FW2024
Limbu	Limbu	limb1266	lif	27.27	87.89	Tibeto-Burman (Kiranti)	FW2024
